,date,Italy,USA,Spain,Germany,France,Switzerland,UK,Netherlands
0,02/15/2020,4.9603174603174604e-08,4.584352078239609e-08,4.286326618088298e-08,1.9326005556226596e-07,1.7939901330542682e-07,0.0,1.3546056592414207e-07,0.0
1,02/16/2020,4.9603174603174604e-08,4.584352078239609e-08,4.286326618088298e-08,1.9326005556226596e-07,1.7939901330542682e-07,0.0,1.3546056592414207e-07,0.0
2,02/17/2020,4.9603174603174604e-08,4.584352078239609e-08,4.286326618088298e-08,1.9326005556226596e-07,1.7939901330542682e-07,0.0,1.3546056592414207e-07,0.0
3,02/18/2020,4.9603174603174604e-08,4.584352078239609e-08,4.286326618088298e-08,1.9326005556226596e-07,1.7939901330542682e-07,0.0,1.3546056592414207e-07,0.0
4,02/19/2020,4.9603174603174604e-08,4.584352078239609e-08,4.286326618088298e-08,1.9326005556226596e-07,1.7939901330542682e-07,0.0,1.3546056592414207e-07,0.0
5,02/20/2020,6.613756613756614e-08,4.584352078239609e-08,4.286326618088298e-08,1.9326005556226596e-07,1.7939901330542682e-07,0.0,1.3546056592414207e-07,0.0
6,02/21/2020,3.4722222222222224e-07,1.0696821515892421e-07,4.286326618088298e-08,1.9326005556226596e-07,1.7939901330542682e-07,0.0,1.3546056592414207e-07,0.0
7,02/22/2020,1.3062169312169313e-06,1.0696821515892421e-07,4.286326618088298e-08,1.9326005556226596e-07,1.7939901330542682e-07,0.0,1.3546056592414207e-07,0.0
8,02/23/2020,2.595899470899471e-06,1.0696821515892421e-07,4.286326618088298e-08,1.9326005556226596e-07,1.7939901330542682e-07,0.0,1.9566526189042744e-07,0.0
9,02/24/2020,3.7863756613756612e-06,1.6198044009779952e-07,6.429489927132448e-08,1.9326005556226596e-07,1.7939901330542682e-07,0.0,1.9566526189042744e-07,0.0
10,02/25/2020,5.340608465608466e-06,1.7420537897310513e-07,1.9288469781397342e-07,2.1741756250754923e-07,2.0929884885633128e-07,1.1682242990654206e-07,1.9566526189042744e-07,0.0
11,02/26/2020,7.77116402116402e-06,1.8337408312958436e-07,2.7861123017573937e-07,3.140475902886822e-07,2.6909851995814024e-07,1.1682242990654206e-07,1.9566526189042744e-07,0.0
12,02/27/2020,1.0830026455026456e-05,1.8337408312958436e-07,5.357908272610373e-07,5.797801666867979e-07,5.680968754671849e-07,9.345794392523365e-07,2.408187838651415e-07,5.820721769499418e-08
13,02/28/2020,1.4699074074074075e-05,1.9254278728606357e-07,7.072438919845692e-07,8.938277569754801e-07,8.521453132007774e-07,1.7523364485981308e-06,3.0102347983142684e-07,1.1641443538998836e-07
14,02/29/2020,1.865079365079365e-05,2.078239608801956e-07,1.2430347192456066e-06,9.542215243386883e-07,1.4949917775452235e-06,2.219626168224299e-06,3.4617700180614086e-07,4.0745052386495924e-07
15,03/01/2020,2.8125e-05,2.2921760391198044e-07,1.8002571795970853e-06,1.570237951443411e-06,1.9434893108087903e-06,2.8037383177570094e-06,5.418422636965683e-07,5.820721769499418e-07
