,date,Italy,USA,Spain,Germany,France,Switzerland,UK,Netherlands
0,02/15/2020,3,15,2,16,12,0,9,0
1,02/16/2020,3,15,2,16,12,0,9,0
2,02/17/2020,3,15,2,16,12,0,9,0
3,02/18/2020,3,15,2,16,12,0,9,0
4,02/19/2020,3,15,2,16,12,0,9,0
5,02/20/2020,4,15,2,16,12,0,9,0
6,02/21/2020,21,35,2,16,12,0,9,0
7,02/22/2020,79,35,2,16,12,0,9,0
8,02/23/2020,157,35,2,16,12,0,13,0
9,02/24/2020,229,53,3,16,12,0,13,0
10,02/25/2020,323,57,9,18,14,1,13,0
11,02/26/2020,470,60,13,26,18,1,13,0
12,02/27/2020,655,60,25,48,38,8,16,1
13,02/28/2020,889,63,33,74,57,15,20,2
14,02/29/2020,1128,68,58,79,100,19,23,7
15,03/01/2020,1701,75,84,130,130,24,36,10
16,03/02/2020,2036,100,120,165,191,30,39,18
17,03/03/2020,2502,124,165,203,212,58,51,23
18,03/04/2020,3089,158,228,262,285,93,87,38
19,03/05/2020,3858,221,282,545,423,120,116,82
20,03/06/2020,4636,319,401,670,653,214,164,128
21,03/07/2020,5883,435,525,800,949,268,209,188
22,03/08/2020,7375,541,674,1040,1209,332,278,265
23,03/09/2020,9172,704,1231,1224,1412,374,321,321
24,03/10/2020,10149,994,1695,1565,1784,497,383,382
25,03/11/2020,12462,1301,2277,1966,2281,652,460,503
26,03/12/2020,15113,1630,3146,2745,2876,868,590,614
27,03/13/2020,17660,2183,5232,3675,3661,1139,798,804
28,03/14/2020,21157,2770,6391,4599,4499,1375,1140,959
29,03/15/2020,24747,3613,7988,5813,5423,2217,1391,1135
30,03/16/2020,27980,4596,9942,7272,6633,2353,1543,1413
31,03/17/2020,31506,6344,11826,9367,7730,2742,1950,1705
32,03/18/2020,35713,9197,14769,12327,9134,3115,2626,2051
33,03/19/2020,41035,13779,18077,15320,10995,4222,3269,2460
34,03/20/2020,47021,19367,21571,19848,12612,5615,3983,2994
35,03/21/2020,53578,24192,25496,22364,14459,6863,5018,3631
36,03/22/2020,59138,33592,28768,24873,16018,7474,5683,4204
37,03/23/2020,63927,43781,35136,29056,19856,8795,6650,4749
38,03/24/2020,69176,54856,42058,32991,22304,9877,8077,5560
39,03/25/2020,74386,68211,49515,32991,25233,10897,9529,6412
40,03/26/2020,80589,85435,57786,43938,25233,11811,11658,7431
41,03/27/2020,86498,104126,57786,50871,32964,12928,14543,8603
42,03/28/2020,92472,123578,73235,50871,37575,14076,17089,9762
43,03/29/2020,97689,143491,80110,62435,40174,14829,19522,10866
44,03/30/2020,101739,163788,87956,66885,44550,15922,22141,11750
45,03/31/2020,105792,188530,95923,71808,52128,16605,25150,12595
46,04/01/2020,110574,215003,104118,77981,56989,17768,29474,13614
47,04/02/2020,115242,244877,112065,84794,59105,18827,33718,14697
48,04/03/2020,119827,277161,119199,91159,76460,19606,38168,15723
49,04/04/2020,124632,311357,126168,96092,83019,20505,41903,16627
50,04/05/2020,128948,336673,131646,100123,87719,21100,47806,17851
51,04/06/2020,132547,372252,136675,103375,90452,21657,51608,18803
52,04/07/2020,135586,400335,141942,107663,99180,22253,55242,19580
53,04/08/2020,139422,434927,148220,113296,103061,23280,60733,20549
54,04/09/2020,143626,468566,153222,118235,107696,24051,65077,21762
55,04/10/2020,147577,502876,158273,122171,113927,24551,73758,23097
56,04/11/2020,152271,532879,163027,125452,118178,25107,78991,24413
57,04/12/2020,156363,560300,166831,127854,120633,25415,84279,25587
58,04/13/2020,159516,586941,170099,130072,124298,25688,88621,26551
59,04/14/2020,162488,613886,174060,132210,130253,25936,93873,27419
64,04/15/2020,165155,648003,180659,134753,133644,26336,98476,28153
60,04/16/2020,168941,677570,184948,137698,140772,26732,103093,29214
61,04/17/2020,172434,709735,190839,141397,143116,27078,108692,30449
62,04/18/2020,175925,738792,194416,143724,146782,27404,114217,31589
63,04/19/2020,178972,764636,198674,145742,147844,27740,120067,32655
64,04/20/2020,181228,792759,200210,147065,150278,27944,124743,33405
65,04/21/2020,183957,818744,204178,148453,153531,28063,129044,34134
66,04/22/2020,187327,846717,208389,150648,155944,28268,133495,34842
68,04/23/2020,189973,886442,213024,153129,158183,28496,138078,35729
69,04/24/2020,192994,925232,219764,154999,159828,28677,143464,36535
70,04/25/2020,195351,960651,223759,156513,161488,28894,148377,37190
71,04/28/2020,199414,1010356,229422,158758,163273,29164,157149,38245
72,04/29/2020,203591,1064194,236899,161539,166420,29407,165221,38802
73,05/01/2020,207428,1131030,242988,164077,167346,29705,177454,39791
74,05/02/2020,209328,1160774,245567,164967,168396,29817,182260,40236
