,date,Italy,USA,Spain,Germany,France,Switzerland,UK,Netherlands
0,2/15/2020,0,0,0,0,0,0,0,0
1,2/16/2020,0,0,0,0,0,0,0,0
2,2/17/2020,0,0,0,0,0,0,0,0
3,2/18/2020,0,0,0,0,0,0,0,0
4,2/19/2020,0,0,0,0,0,0,0,0
5,2/20/2020,1,0,0,0,0,0,0,0
6,2/21/2020,17,20,0,0,0,0,0,0
7,2/22/2020,58,0,0,0,0,0,0,0
8,2/23/2020,78,0,0,0,0,0,4,0
9,2/24/2020,72,18,1,0,0,0,0,0
10,2/25/2020,94,4,6,2,2,0,0,0
11,2/26/2020,147,3,4,8,4,0,0,0
12,2/27/2020,185,0,12,22,20,7,3,0
13,2/28/2020,234,3,8,26,19,7,4,1
14,2/29/2020,239,5,25,5,43,4,3,5
15,3/1/2020,573,7,26,51,30,5,13,3
16,3/2/2020,335,25,36,35,61,6,3,8
17,3/3/2020,466,24,45,38,21,28,12,5
18,3/4/2020,587,34,63,59,73,35,36,15
19,3/5/2020,769,63,54,283,138,27,29,44
20,3/6/2020,778,98,119,125,230,94,48,46
21,3/7/2020,1247,116,124,130,296,54,45,60
22,3/8/2020,1492,106,149,240,260,64,69,77
23,3/9/2020,1797,163,557,184,203,42,43,56
24,3/10/2020,977,290,464,341,372,123,62,61
25,3/11/2020,2313,307,582,401,497,155,77,121
26,3/12/2020,2651,329,869,779,595,216,130,111
27,3/13/2020,2547,553,2086,930,785,271,208,190
28,3/14/2020,3497,587,1159,924,838,236,342,155
29,3/15/2020,3590,843,1597,1214,924,842,251,176
30,3/16/2020,3233,983,1954,1459,1210,136,152,278
31,3/17/2020,3526,1748,1884,2095,1097,389,407,292
32,3/18/2020,4207,2853,2943,2960,1404,373,676,346
33,3/19/2020,5322,4582,3308,2993,1861,1107,643,409
34,3/20/2020,5986,5588,3494,4528,1617,1393,714,534
35,3/21/2020,6557,4825,3925,2516,1847,1248,1035,637
36,3/22/2020,5560,9400,3272,2509,1559,611,665,573
37,3/23/2020,4789,10189,6368,4183,3838,1321,967,545
38,3/24/2020,5249,11075,6922,3935,2448,1082,1427,811
39,3/25/2020,5210,13355,7457,4332,2929,1020,1452,852
40,3/26/2020,6203,17224,8271,6615,3922,914,2129,1019
41,3/27/2020,5909,18691,7933,6933,3809,1117,2885,1172
42,3/28/2020,5974,19452,7516,6824,4611,1148,2546,1159
43,3/29/2020,5217,19913,6875,4740,2599,753,2433,1104
44,3/30/2020,4050,20297,7846,4450,4376,1093,2619,884
45,3/31/2020,4053,24742,7967,4923,7578,683,3009,845
,,,,,,,,,
