,date,Italy,USA,Spain,Germany,France,Switzerland,UK,Netherlands
0,02/15/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,02/16/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,02/17/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,02/18/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,02/19/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,02/20/2020,1.6534391534391535e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,02/21/2020,2.810846560846561e-07,6.112469437652812e-08,0.0,0.0,0.0,0.0,0.0,0.0
7,02/22/2020,9.58994708994709e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,02/23/2020,1.2896825396825398e-06,0.0,0.0,0.0,0.0,0.0,6.020469596628537e-08,0.0
9,02/24/2020,1.1904761904761904e-06,5.501222493887531e-08,2.143163309044149e-08,0.0,0.0,0.0,0.0,0.0
10,02/25/2020,1.5542328042328043e-06,1.2224938875305624e-08,1.2858979854264895e-07,2.4157506945283245e-08,2.989983555090447e-08,0.0,0.0,0.0
11,02/26/2020,2.4305555555555557e-06,9.168704156479218e-09,8.572653236176597e-08,9.663002778113298e-08,5.979967110180894e-08,0.0,0.0,0.0
12,02/27/2020,3.0588624338624337e-06,0.0,2.571795970852979e-07,2.657325763981157e-07,2.989983555090447e-07,8.177570093457944e-07,4.515352197471403e-08,0.0
13,02/28/2020,3.869047619047619e-06,9.168704156479218e-09,1.7145306472353193e-07,3.140475902886822e-07,2.8404843773359247e-07,8.177570093457944e-07,6.020469596628537e-08,5.820721769499418e-08
14,02/29/2020,3.951719576719577e-06,1.528117359413203e-08,5.357908272610373e-07,6.039376736320812e-08,6.428464643444461e-07,4.6728971962616824e-07,4.515352197471403e-08,2.910360884749709e-07
15,03/01/2020,9.474206349206349e-06,2.139364303178484e-08,5.572224603514787e-07,6.160164271047228e-07,4.4849753326356703e-07,5.841121495327103e-07,1.9566526189042744e-07,1.7462165308498255e-07
16,03/02/2020,5.539021164021164e-06,7.640586797066014e-08,7.715387912558937e-07,4.227563715424568e-07,9.119449843025863e-07,7.009345794392523e-07,4.515352197471403e-08,4.6565774155995343e-07
17,03/03/2020,7.705026455026454e-06,7.334963325183375e-08,9.64423489069867e-07,4.589926319603817e-07,3.1394827328449694e-07,3.2710280373831774e-06,1.8061408789885612e-07,2.910360884749709e-07
18,03/04/2020,9.70568783068783e-06,1.039119804400978e-07,1.350192884697814e-06,7.126464548858558e-07,1.0913439976080132e-06,4.088785046728972e-06,5.418422636965683e-07,8.731082654249127e-07
19,03/05/2020,1.271494708994709e-05,1.9254278728606357e-07,1.1573081868838405e-06,3.4182872327575793e-06,2.0630886530124086e-06,3.1542056074766355e-06,4.364840457555689e-07,2.561117578579744e-06
