,date,Italy,USA,Spain,Germany,France,Switzerland,UK,Netherlands
0,02/15/2020,0,0,0,0,0,0,0,0
1,02/16/2020,0,0,0,0,0,0,0,0
2,02/17/2020,0,0,0,0,0,0,0,0
3,02/18/2020,0,0,0,0,0,0,0,0
4,02/19/2020,0,0,0,0,0,0,0,0
5,02/20/2020,1,0,0,0,0,0,0,0
6,02/21/2020,17,20,0,0,0,0,0,0
7,02/22/2020,58,0,0,0,0,0,0,0
8,02/23/2020,78,0,0,0,0,0,4,0
9,02/24/2020,72,18,1,0,0,0,0,0
10,02/25/2020,94,4,6,2,2,0,0,0
11,02/26/2020,147,3,4,8,4,0,0,0
12,02/27/2020,185,0,12,22,20,7,3,0
13,02/28/2020,234,3,8,26,19,7,4,1
14,02/29/2020,239,5,25,5,43,4,3,5
15,03/01/2020,573,7,26,51,30,5,13,3
16,03/02/2020,335,25,36,35,61,6,3,8
17,03/03/2020,466,24,45,38,21,28,12,5
18,03/04/2020,587,34,63,59,73,35,36,15
19,03/05/2020,769,63,54,283,138,27,29,44
20,03/06/2020,778,98,119,125,230,94,48,46
21,03/07/2020,1247,116,124,130,296,54,45,60
22,03/08/2020,1492,106,149,240,260,64,69,77
23,03/09/2020,1797,163,557,184,203,42,43,56
24,03/10/2020,977,290,464,341,372,123,62,61
25,03/11/2020,2313,307,582,401,497,155,77,121
26,03/12/2020,2651,329,869,779,595,216,130,111
27,03/13/2020,2547,553,2086,930,785,271,208,190
28,03/14/2020,3497,587,1159,924,838,236,342,155
29,03/15/2020,3590,843,1597,1214,924,842,251,176
30,03/16/2020,3233,983,1954,1459,1210,136,152,278
31,03/17/2020,3526,1748,1884,2095,1097,389,407,292
32,03/18/2020,4207,2853,2943,2960,1404,373,676,346
33,03/19/2020,5322,4582,3308,2993,1861,1107,643,409
34,03/20/2020,5986,5588,3494,4528,1617,1393,714,534
35,03/21/2020,6557,4825,3925,2516,1847,1248,1035,637
36,03/22/2020,5560,9400,3272,2509,1559,611,665,573
37,03/23/2020,4789,10189,6368,4183,3838,1321,967,545
38,03/24/2020,5249,11075,6922,3935,2448,1082,1427,811
39,03/25/2020,5210,13355,7457,4332,2929,1020,1452,852
40,03/26/2020,6203,17224,8271,6615,3922,914,2129,1019
41,03/27/2020,5909,18691,7933,6933,3809,1117,2885,1172
42,03/28/2020,5974,19452,7516,6824,4611,1148,2546,1159
43,03/29/2020,5217,19913,6875,4740,2599,753,2433,1104
44,03/30/2020,4050,20297,7846,4450,4376,1093,2619,884
45,03/31/2020,4053,24742,7967,4923,7578,683,3009,845
46,04/01/2020,4782,26473,8195,6173,4861,1163,4324,1019
47,04/02/2020,4668,29874,7947,6813,2116,1059,4244,1083
48,04/03/2020,4585,32284,7134,6365,23060,779,4450,1026
49,04/04/2020,4805,34196,6969,4933,7788,899,3735,904
50,04/05/2020,4316,25316,5478,4031,2886,595,5903,1224
51,04/07/2020,3039,33331,5267,4288,11059,596,3634,777
52,04/08/2020,3836,31935,6278,5633,3881,1027,5491,969
53,04/09/2020,4204,33536,5002,4939,4799,771,4344,1213
54,04/10/2020,3951,33752,5051,3936,7120,500,8681,1335
55,04/11/2020,4694,30003,4754,3281,4785,556,5233,1316
56,04/12/2020,4092,27421,3804,2402,2937,308,5288,1174
57,04/13/2020,3153,26641,3268,2218,4188,273,4342,964
58,04/14/2020,2972,26945,3961,2138,6524,248,5252,868
59,04/16/2020,3786,29567,4289,2945,17164,396,4617,1061
60,04/17/2020,3493,32165,5891,3699,1909,346,5599,1235
61,04/18/2020,3491,29057,3577,2327,3824,326,5525,1140
62,04/19/2020,3047,25844,4258,2018,1101,336,5850,1066
63,04/20/2020,2256,28123,1536,1323,2489,204,4676,750
64,04/21/2020,2729,25985,3968,1388,2667,119,4301,729
65,04/23/2020,2646,31900,4635,2481,2239,228,4583,887
66,04/24/2020,3021,38958,6740,1870,1645,181,5386,806
67,04/25/2020,2357,35419,3995,1514,1660,217,4913,655
68,04/28/2020,1739,23196,2793,988,1173,103,4309,400
69,04/29/2020,2086,28429,4771,1627,509,143,4076,386
70,05/01/2020,1965,36007,3648,1068,168,119,6201,475
71,05/02/2020,1900,29744,2588,890,1050,112,4806,445
